codigo_comunidad_autonoma,comunidad_autonoma,codigo_provincia,provincia
01,Andalucia,04,ALMERÍA
01,Andalucia,11,CÁDIZ
01,Andalucia,14,CÓRDOBA
01,Andalucia,18,GRANADA
01,Andalucia,21,HUELVA
01,Andalucia,23,JAÉN
01,Andalucia,29,MÁLAGA
01,Andalucia,41,SEVILLA
02,Aragón,22,HUESCA
02,Aragón,44,TERUEL
02,Aragón,50,ZARAGOZA
03,Asturias,33,ASTURIAS
04,Baleares,07,BALEARS (ILLES)
05,Canarias,35,PALMAS (LAS)
05,Canarias,38,SANTA CRUZ DE TENERIFE
06,Cantabria,39,CANTABRIA
07,Castilla la Mancha,02,ALBACETE
07,Castilla la Mancha,13,CIUDAD REAL
07,Castilla la Mancha,16,CUENCA
07,Castilla la Mancha,19,GUADALAJARA
07,Castilla la Mancha,45,TOLEDO
08,Castilla y León,05,ÁVILA
08,Castilla y León,09,BURGOS
08,Castilla y León,24,LEÓN
08,Castilla y León,34,PALENCIA
08,Castilla y León,37,SALAMANCA
08,Castilla y León,40,SEGOVIA
08,Castilla y León,42,SORIA
08,Castilla y León,47,VALLADOLID
08,Castilla y León,49,ZAMORA
09,Cataluña,08,BARCELONA
09,Cataluña,17,GIRONA
09,Cataluña,25,LLEIDA
09,Cataluña,43,TARRAGONA
10,Comunidad Valenciana,03,ALICANTE
10,Comunidad Valenciana,12,CASTELLÓN / CASTELLÓ
10,Comunidad Valenciana,46,VALENCIA / VALÈNCIA
11,Extremadura,06,BADAJOZ
11,Extremadura,10,CÁCERES
12,Galicia,15,CORUÑA (A)
12,Galicia,27,LUGO
12,Galicia,32,OURENSE
12,Galicia,36,PONTEVEDRA
13,Madrid,28,MADRID
14,Murcia,30,MURCIA
15,Navarra,31,NAVARRA
16,País Vasco,01,ARABA/ÁLAVA
16,País Vasco,20,GIPUZKOA
16,País Vasco,48,BIZKAIA
17,Rioja (La),26,RIOJA (LA)
18,Ceuta,51,CEUTA
19,Melilla,52,MELILLA
